name,bounding_box,landmarks
Unknown,"(184, 151, 358, 366)","(237, 317); (278, 242); (311, 234); (235, 275); (320, 321)"
Unknown,"(183, 149, 358, 370)","(239, 317); (278, 243); (310, 232); (234, 274); (321, 323)"
Unknown,"(186, 147, 357, 372)","(238, 316); (275, 242); (307, 229); (232, 272); (321, 324)"
Unknown,"(184, 148, 356, 369)","(239, 317); (277, 242); (308, 228); (232, 270); (319, 322)"
Unknown,"(188, 148, 358, 367)","(241, 318); (278, 243); (309, 227); (231, 268); (316, 320)"
Unknown,"(187, 150, 357, 367)","(242, 319); (281, 244); (311, 227); (231, 266); (315, 319)"
Unknown,"(192, 143, 359, 355)","(244, 320); (280, 247); (310, 222); (225, 259); (308, 311)"
Unknown,"(203, 148, 361, 339)","(253, 327); (289, 254); (319, 221); (225, 256); (299, 302)"
Unknown,"(235, 153, 389, 341)","(285, 357); (320, 284); (347, 224); (229, 258); (298, 303)"
Unknown,"(279, 157, 424, 339)","(324, 392); (356, 322); (381, 223); (229, 260); (298, 304)"
Unknown,"(303, 160, 453, 346)","(352, 422); (384, 349); (409, 230); (237, 268); (303, 309)"
Unknown,"(328, 170, 471, 349)","(375, 441); (403, 366); (424, 233); (244, 275); (307, 317)"
Unknown,"(334, 170, 477, 351)","(380, 447); (409, 372); (429, 234); (244, 275); (308, 317)"
Unknown,"(327, 166, 476, 354)","(379, 448); (410, 373); (430, 238); (249, 278); (311, 321)"
Unknown,"(332, 170, 478, 353)","(378, 445); (408, 372); (431, 236); (246, 278); (310, 318)"
Unknown,"(324, 166, 474, 354)","(376, 446); (408, 370); (429, 238); (248, 278); (311, 321)"
Unknown,"(323, 171, 470, 353)","(374, 445); (405, 366); (425, 236); (248, 277); (311, 322)"
Unknown,"(324, 172, 468, 352)","(374, 443); (405, 367); (424, 236); (247, 276); (309, 320)"
Unknown,"(323, 171, 469, 353)","(374, 444); (405, 365); (425, 235); (248, 276); (310, 321)"
Unknown,"(323, 170, 470, 352)","(375, 444); (406, 367); (426, 235); (247, 276); (310, 321)"
Unknown,"(323, 165, 472, 351)","(372, 441); (402, 364); (424, 234); (245, 275); (309, 319)"
Unknown,"(278, 167, 423, 347)","(321, 390); (351, 318); (377, 232); (238, 270); (305, 311)"
Unknown,"(225, 163, 371, 345)","(268, 337); (301, 272); (330, 233); (235, 269); (306, 308)"
Unknown,"(197, 165, 347, 343)","(241, 311); (275, 248); (306, 236); (235, 270); (308, 308)"
Unknown,"(185, 165, 334, 345)","(229, 298); (263, 235); (295, 237); (235, 271); (309, 309)"
Unknown,"(182, 163, 334, 349)","(227, 296); (261, 234); (294, 238); (237, 273); (312, 312)"
Unknown,"(179, 166, 329, 353)","(220, 289); (252, 228); (286, 239); (236, 274); (314, 312)"
Unknown,"(142, 169, 299, 358)","(177, 246); (208, 196); (251, 249); (236, 282); (327, 316)"
GiaBao,"(104, 173, 263, 364)","(137, 201); (162, 161); (212, 261); (242, 293); (337, 323)"
Unknown,"(87, 182, 240, 366)","(120, 182); (146, 144); (195, 266); (247, 293); (335, 320)"
Unknown,"(83, 182, 238, 367)","(116, 179); (144, 140); (191, 266); (247, 293); (335, 320)"
Unknown,"(85, 182, 239, 364)","(119, 181); (146, 143); (194, 265); (246, 292); (334, 319)"
Unknown,"(94, 182, 247, 361)","(123, 188); (152, 146); (199, 261); (245, 291); (331, 318)"
GiaBao,"(100, 179, 250, 356)","(131, 195); (158, 151); (204, 258); (242, 287); (328, 316)"
Unknown,"(123, 175, 274, 356)","(158, 225); (189, 175); (230, 251); (240, 282); (324, 315)"
GiaBao,"(141, 173, 288, 349)","(178, 244); (209, 191); (245, 246); (238, 275); (316, 310)"
Unknown,"(147, 167, 296, 350)","(185, 253); (215, 195); (251, 242); (236, 275); (315, 311)"
Unknown,"(149, 167, 299, 350)","(187, 255); (218, 198); (254, 242); (236, 274); (315, 311)"
Unknown,"(151, 166, 300, 349)","(189, 256); (221, 201); (256, 240); (234, 272); (313, 309)"
GiaBao,"(156, 166, 305, 351)","(196, 263); (227, 205); (262, 240); (235, 272); (312, 309)"
Unknown,"(161, 167, 308, 347)","(203, 270); (237, 211); (269, 239); (236, 272); (310, 308)"
Unknown,"(166, 167, 314, 348)","(208, 276); (242, 216); (274, 239); (236, 272); (310, 309)"
Unknown,"(164, 169, 309, 345)","(206, 273); (240, 215); (272, 239); (236, 271); (309, 307)"
Unknown,"(173, 164, 319, 346)","(215, 283); (248, 222); (279, 237); (236, 270); (308, 308)"
Unknown,"(178, 166, 323, 344)","(221, 288); (254, 227); (284, 237); (236, 270); (308, 309)"
Unknown,"(181, 168, 324, 345)","(222, 290); (256, 228); (285, 237); (236, 268); (308, 308)"
Unknown,"(184, 168, 327, 344)","(225, 293); (259, 232); (288, 237); (236, 268); (308, 308)"
Unknown,"(186, 165, 333, 348)","(229, 298); (262, 236); (292, 235); (235, 268); (310, 310)"
Unknown,"(193, 166, 339, 346)","(238, 305); (271, 245); (300, 236); (236, 269); (309, 310)"
Unknown,"(206, 162, 356, 352)","(255, 323); (290, 260); (315, 234); (235, 270); (312, 313)"
Unknown,"(212, 159, 364, 355)","(262, 331); (297, 267); (322, 231); (235, 267); (313, 315)"
Unknown,"(218, 164, 365, 353)","(266, 334); (301, 272); (325, 233); (235, 267); (313, 315)"
Unknown,"(219, 164, 366, 353)","(266, 335); (300, 271); (324, 233); (236, 266); (312, 314)"
Unknown,"(214, 159, 365, 354)","(263, 331); (297, 267); (321, 232); (236, 267); (312, 315)"
Unknown,"(209, 161, 363, 356)","(257, 327); (293, 262); (319, 233); (235, 267); (313, 315)"
Unknown,"(204, 166, 351, 347)","(251, 320); (286, 254); (309, 231); (233, 267); (309, 311)"
Unknown,"(203, 170, 346, 349)","(243, 309); (274, 249); (302, 236); (236, 269); (313, 313)"
Unknown,"(202, 171, 343, 351)","(240, 306); (271, 246); (299, 236); (235, 271); (314, 314)"
